440	1.27237
441	1.45538
442	1.49005
443	1.76343
444	1.95837
445	2.07324
446	2.28772
447	2.6343
448	2.86976
449	3.18749
450	3.364
451	3.76305
452	4.19531
453	4.59946
454	5.02253
455	5.51512
456	6.0194
457	6.55339
458	7.13372
459	7.79768
460	8.73319
461	9.22913
462	10.2753
463	11.6914
464	14.987
465	22.5904
466	35.2541
467	52.7524
468	75.954
469	104.198
470	137.453
471	174.229
472	214.772
473	257.994
474	302.875
475	349.256
476	398.224
477	449.069
478	500.953
479	556.781
480	613.726
481	673.984
482	732.997
483	784.109
484	813.586
485	816.413
486	799.822
487	770.454
488	734.013
489	689.359
490	642.055
491	593.324
492	545.334
493	497.583
494	450.258
495	402.67
496	354.667
497	306.204
498	257.595
499	206.556
500	152.967
501	98.4782
502	47.9776
503	16.225
504	5.58686
505	3.5123
506	3.03092
507	2.64684
